"","s1","s2"
"476",-1001,2430
"477",-1085,2558
"478",-1089,2762
"479",-977,2230
"480",-1031,2526
"481",-1125,2718
"482",-1019,2470
"483",-1145,2958
"484",-1053,2530
"485",-1129,3030
"486",-1135,2890
"487",-1073,2594
"488",-1049,2450
"489",-1087,2910
"490",-1071,2666
"491",-1141,3058
"492",-1103,2742
"493",-1063,2646
"494",-1079,2582
"495",-1009,2454
"496",-1005,2374
"497",-1059,2550
"498",-1099,2790
"499",-959,2378
"500",-1053,2442
"501",-1063,2466
"502",-1013,2386
"503",-1049,2558
"504",-1081,2598
"505",-1021,2354
"506",-1071,2726
"507",-1087,2710
"508",-1137,2946
"509",-1065,2554
"510",-979,2502
"511",-1111,2806
"512",-1045,2522
"513",-1097,2566
"514",-1097,2834
"515",-1079,2606
"516",-1059,2678
"517",-915,2018
"518",-1043,2614
"519",-1077,3034
"520",-1027,2390
"521",-1025,2514
"522",-1079,2734
"523",-1065,2486
"524",-1133,2954
"525",-1065,2614
"526",-1113,2738
"527",-1043,2434
"528",-1097,2714
"529",-1051,2554
"530",-1045,2530
"531",-1079,2742
"532",-1107,2790
"533",-1091,2814
"534",-1117,2862
"535",-1087,2562
"536",-1023,2722
"537",-1091,2594
"538",-925,2294
"539",-1069,2610
"540",-1039,2602
"541",-1061,2786
"542",-955,2318
"543",-975,2394
"544",-1005,2406
"545",-1015,2666
"546",-1079,2602
"547",-1031,2446
"548",-1097,2574
"549",-1009,2370
"550",-1043,2450
"551",-1085,2714
"552",-1147,2570
"553",-1053,2578
"554",-1163,2950
"555",-1089,2678
"556",-1089,2406
"557",-1047,2610
"558",-1065,2574
"559",-1027,2530
"560",-1021,2418
"561",-1061,2558
"562",-1067,2726
"563",-1009,2426
"564",-1025,2438
"565",-1009,2586
"566",-1111,2658
"567",-1033,2502
"568",-1107,2566
"569",-987,2330
"570",-1073,2618
"571",-1085,2730
"572",-1073,2666
"573",-1041,2694
"574",-1117,2722
"575",-1031,2670
"576",-1053,2702
"577",-1113,2790
"578",-1079,2722
"579",-1047,2870
"580",-997,2554
"581",-1047,2642
"582",-1027,2590
"583",-1013,2506
"584",-1079,2610
"585",-1023,2510
"586",-1069,2650
"587",-927,2258
"588",-1031,2666
"589",-1091,2754
"590",-1051,2414
"591",-997,2530
"592",-1065,2554
"593",-1013,2450
"594",-1045,2310
"595",-1039,2614
"596",-1061,2666
"597",-1003,2286
"598",-1091,2554
"599",-1037,2706
"600",-1053,2434
"601",-1055,2506
"602",-1031,2646
"603",-1035,2810
"604",-1035,2482
"605",-1005,2526
"606",-1061,2606
"607",-1059,2718
"608",-1075,2814
"609",-1001,2450
"610",-1043,2574
"611",-1049,2502
"612",-1061,2598
"613",-1053,2522
"614",-1025,2486
"615",-1095,2654
"616",-1059,2718
"617",-1083,2762
"618",-1027,2406
"619",-1125,2718
"620",-995,2230
"621",-1089,2758
"622",-1083,2658
"623",-1059,2610
"624",-1133,2738
"625",-1011,2434
"626",-1103,2750
"627",-987,2458
"628",-1015,2378
"629",-1135,2682
"630",-1089,2682
"631",-1087,2658
"632",-1041,2386
"633",-1045,2422
"634",-1171,3142
"635",-1099,2870
"636",-997,2658
"637",-1195,3222
"638",-991,2582
"639",-1055,2522
"640",-1101,2666
"641",-1009,2314
"642",-1015,2570
"643",-1105,2742
"644",-1109,2602
"645",-1099,2710
"646",-1047,2674
"647",-975,2322
"648",-1065,2722
"649",-1035,2314
"650",-1075,2622
"651",-995,2370
"652",-1205,3078
"653",-1031,2586
"654",-1077,2694
"655",-1061,2578
"656",-1063,2674
"657",-1127,2990
"658",-1083,2538
"659",-1069,2642
"660",-1021,2354
"661",-991,2526
"662",-1067,2726
"663",-1089,2726
"664",-997,2626
"665",-1087,2770
"666",-979,2398
"667",-983,2566
"668",-987,2290
"669",-973,2378
"670",-1045,2726
"671",-1019,2694
"672",-1075,2678
"673",-1101,2646
"674",-977,2350
"675",-1033,2510
"676",-1053,2562
"677",-1057,2510
"678",-1021,2366
"679",-1061,2642
"680",-1091,2662
"681",-1155,2870
"682",-965,2162
"683",-1079,2522
"684",-1053,2506
"685",-1081,2554
"686",-1021,2594
"687",-1105,2718
"688",-1013,2462
"689",-1003,2578
"690",-1043,2394
"691",-1097,2774
"692",-1057,2522
"693",-981,2402
"694",-1067,2606
"695",-1089,2910
"696",-1077,2838
"697",-1053,2606
"698",-1053,2430
"699",-1055,2514
"700",-1009,2506
"701",-1077,2570
"702",-1015,2394
"703",-1091,2650
"704",-1091,2618
"705",-979,2290
"706",-1085,2546
"707",-1077,2810
"708",-1095,2642
"709",-1113,2686
"710",-1135,2806
"711",-1077,2602
"712",-971,2394
"713",-983,2390
"714",-1083,2702
"715",-1081,2570
"716",-987,2266
"717",-943,2158
"718",-1091,2678
"719",-1041,2350
"720",-1063,2842
"721",-1087,2642
"722",-1089,2518
"723",-1025,2370
"724",-1115,2730
"725",-1159,2706
"726",-1001,2594
"727",-993,2450
"728",-1175,2866
"729",-1099,2414
"730",-1025,2398
"731",-1089,2794
"732",-1035,2570
"733",-1027,2710
"734",-1127,2770
"735",-1015,2490
"736",-1015,2406
"737",-1047,2574
"738",-1005,2642
"739",-1107,2902
"740",-1033,2594
"741",-1073,2654
"742",-1073,2718
"743",-1031,2510
"744",-1041,2498
"745",-1061,2454
"746",-1059,2770
"747",-1049,2594
"748",-1027,2542
"749",-1051,2774
"750",-1055,2666
"751",-1105,2714
"752",-1077,2614
"753",-1105,2546
"754",-995,2258
"755",-1049,2626
"756",-1083,2674
"757",-1067,2678
"758",-1077,2438
"759",-1017,2474
"760",-1105,2610
"761",-1071,2794
"762",-1029,2426
"763",-1029,2290
"764",-1069,2562
"765",-1067,2614
"766",-1027,2570
"767",-1091,2678
"768",-1085,2870
"769",-1123,2594
"770",-1139,2858
"771",-1063,2718
"772",-1055,2546
"773",-969,2474
"774",-1015,2198
"775",-1079,2666
