"","s1","s2"
"639",-1045,2558
"640",-985,2414
"641",-1141,2886
"642",-963,2302
"643",-1121,2690
"644",-1119,2614
"645",-1105,2654
"646",-1077,2662
"647",-1065,2518
"648",-1077,2554
"649",-1039,2462
"650",-1115,2650
"651",-1021,2402
"652",-1053,2598
"653",-1031,2490
"654",-1051,2278
"655",-1009,2402
"656",-985,2258
"657",-1101,2582
"658",-1095,2598
"659",-1005,2222
"660",-1109,2586
"661",-1073,2438
"662",-1073,2606
"663",-1027,2386
"664",-1037,2538
"665",-1019,2530
"666",-973,2270
"667",-1151,2638
"668",-1071,2374
"669",-1043,2370
"670",-981,2614
"671",-1067,2502
"672",-1113,2866
"673",-1107,2618
"674",-1033,2538
"675",-1025,2378
"676",-965,2102
"677",-1123,2530
"678",-1001,2310
"679",-1023,2294
"680",-1085,2710
"681",-1103,2730
"682",-1105,2758
"683",-1069,2550
"684",-1005,2442
"685",-1057,2390
"686",-1011,2262
"687",-1107,2734
"688",-1083,2694
"689",-1099,2522
"690",-925,2186
"691",-1085,2718
"692",-977,2370
"693",-993,2382
"694",-1129,2682
"695",-947,2218
"696",-1033,2318
"697",-1055,2610
"698",-1041,2290
"699",-987,2318
"700",-1111,2650
"701",-1069,2586
"702",-971,2358
"703",-1143,2846
"704",-1039,2558
"705",-979,2202
"706",-1067,2622
"707",-1079,2482
"708",-1059,2474
"709",-1111,2646
"710",-997,2410
"711",-1005,2582
"712",-1037,2494
"713",-1117,2798
"714",-983,2362
"715",-1111,2702
"716",-1079,2550
"717",-1159,2842
"718",-1175,2778
"719",-1033,2502
"720",-1085,2554
"721",-1091,2758
"722",-1123,2654
"723",-1065,2522
"724",-1085,2674
"725",-1001,2262
"726",-975,2378
"727",-1107,2942
"728",-1041,2486
"729",-957,2294
"730",-1155,2826
"731",-1083,2530
"732",-1081,2470
"733",-993,2266
"734",-1031,2290
"735",-1047,2358
"736",-1051,2578
"737",-1145,2758
"738",-1115,2598
"739",-1013,2430
"740",-1027,2486
"741",-1103,2398
"742",-1123,2378
"743",-1023,2442
"744",-1101,2682
"745",-1041,2314
"746",-1121,2702
"747",-1005,2214
"748",-1111,2718
"749",-1073,2514
"750",-1035,2174
"751",-963,2314
"752",-1053,2442
"753",-1071,2558
"754",-1085,2446
"755",-959,2214
"756",-1041,2534
"757",-1079,2766
"758",-1067,2398
"759",-1043,2558
"760",-1027,2434
"761",-1003,2326
"762",-1095,2630
"763",-1079,2566
"764",-1061,2558
"765",-1035,2734
"766",-1195,2806
"767",-1043,2538
"768",-1067,2610
"769",-1115,2730
"770",-1055,2722
"771",-1031,2538
"772",-1033,2490
"773",-1103,2462
"774",-1047,2750
"775",-1055,2366
"776",-1051,2522
"777",-1113,2806
"778",-977,2118
"779",-1077,2370
"780",-1091,2566
"781",-1103,2710
"782",-1069,2522
"783",-1101,2638
"784",-1037,2306
"785",-1067,2462
"786",-1059,2482
"787",-1007,2394
"788",-1025,2342
"789",-1069,2526
"790",-1127,2662
"791",-1031,2506
"792",-1025,2478
"793",-1081,2558
"794",-1005,2514
"795",-1023,2502
"796",-1059,2578
"797",-1089,2658
"798",-1143,2766
"799",-1041,2522
"800",-1069,2482
"801",-1083,2610
"802",-999,2222
"803",-1051,2502
"804",-1023,2542
"805",-1073,2582
"806",-1085,2458
"807",-1093,2538
"808",-1037,2438
"809",-1073,2738
"810",-1111,2646
"811",-1049,2518
"812",-1123,2650
"813",-1065,2390
"814",-1037,2558
"815",-1055,2558
"816",-1065,2490
"817",-1059,2534
"818",-1083,2554
"819",-1007,2322
"820",-1051,2434
"821",-1023,2406
"822",-1157,2634
"823",-1039,2222
"824",-993,2094
"825",-955,2282
"826",-1109,2522
"827",-1023,2418
"828",-1071,2394
"829",-1037,2478
"830",-1055,2742
"831",-1129,2718
"832",-1077,2646
"833",-1021,2382
"834",-1091,2494
"835",-1041,2358
"836",-1029,2410
"837",-1143,2878
"838",-985,2338
"839",-893,2158
"840",-1031,2402
"841",-1017,2366
"842",-1145,2818
"843",-1081,2710
"844",-1073,2674
"845",-997,2278
"846",-1097,2550
"847",-1209,3074
"848",-1027,2454
"849",-1033,2558
"850",-1041,2546
"851",-1125,2790
"852",-1151,2830
"853",-1051,2598
"854",-1155,2738
"855",-1051,2466
"856",-1077,2410
"857",-1085,2710
"858",-1127,2750
"859",-1099,2594
"860",-1093,2598
"861",-1059,2514
"862",-1115,2642
"863",-1089,2550
"864",-1087,2466
"865",-1085,2694
"866",-1091,2514
"867",-1101,2638
"868",-1087,2698
"869",-1057,2410
"870",-1019,2322
"871",-997,2442
"872",-1063,2458
"873",-1127,2746
"874",-1055,2402
"875",-999,2422
"876",-1085,2526
"877",-985,2146
"878",-1047,2290
"879",-1027,2510
