"","s1","s2"
"482",-1053,2686
"483",-1013,2506
"484",-1013,2246
"485",-1015,2418
"486",-1095,2582
"487",-1115,2878
"488",-1163,2966
"489",-1121,2986
"490",-1051,2530
"491",-1095,2702
"492",-1129,2866
"493",-1051,2458
"494",-1101,2802
"495",-1065,2690
"496",-1133,2898
"497",-1005,2294
"498",-1099,2746
"499",-1007,2638
"500",-1055,2554
"501",-1123,2766
"502",-1067,2566
"503",-1041,2574
"504",-1101,2658
"505",-1031,2626
"506",-989,2430
"507",-971,2394
"508",-1037,2566
"509",-1145,2710
"510",-1083,2794
"511",-1029,2454
"512",-1041,2430
"513",-1109,2778
"514",-1025,2434
"515",-1077,2522
"516",-1035,2434
"517",-1131,2810
"518",-997,2458
"519",-1095,2874
"520",-1049,2382
"521",-1061,2594
"522",-1055,2434
"523",-1073,2746
"524",-1029,2550
"525",-991,2214
"526",-1137,2738
"527",-1049,2666
"528",-1033,2298
"529",-1081,2642
"530",-1017,2410
"531",-1035,2390
"532",-1023,2414
"533",-1081,2614
"534",-1059,2626
"535",-989,2258
"536",-1151,2878
"537",-1029,2534
"538",-993,2422
"539",-1087,2562
"540",-1005,2414
"541",-1111,2594
"542",-1055,2414
"543",-1139,3094
"544",-1031,2390
"545",-1097,2442
"546",-1119,2842
"547",-1007,2706
"548",-1049,2522
"549",-1001,2494
"550",-953,2274
"551",-1011,2346
"552",-1127,2710
"553",-1027,2590
"554",-1067,2594
"555",-1043,2838
"556",-1107,2658
"557",-1111,2886
"558",-1065,2830
"559",-965,2410
"560",-1073,2590
"561",-1037,2522
"562",-979,2334
"563",-1161,2910
"564",-1149,2738
"565",-987,2334
"566",-1071,2478
"567",-1095,2554
"568",-1153,2870
"569",-1103,2762
"570",-981,2406
"571",-1111,2770
"572",-953,2366
"573",-1005,2350
"574",-1117,2878
"575",-1069,2878
"576",-1111,2622
"577",-1055,2782
"578",-1039,2386
"579",-1077,2610
"580",-1021,2414
"581",-1067,2666
"582",-1109,2630
"583",-977,2474
"584",-1003,2506
"585",-1121,2782
"586",-947,2326
"587",-1057,2558
"588",-1243,3014
"589",-989,2302
"590",-1073,2746
"591",-1101,2678
